imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio
3403788,glass,1,4032,2272,1435,972,2672,1185,2.88
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27
3404820,glass,1,2268,4032,964,1695,1241,2718,3.1
3405411,glass,1,2268,4032,981,1382,1346,2627,4.97
3405712,glass,1,2268,4032,973,1426,1269,2598,3.79
3405778,glass,1,2268,4032,914,1484,1340,2622,5.3
3405881,glass,1,2268,4032,850,1550,1495,2550,7.05
3405964,glass,1,2268,4032,879,1414,1415,2629,7.12
3406037,glass,1,2268,4032,841,1449,1439,2523,7.02
3406717,glass,1,2610,4640,1051,1773,1678,2759,5.1
3406869,glass,1,2610,4640,1236,2016,1573,2856,2.34
3406915,glass,1,2268,4032,966,1327,1397,2707,6.5
3407076,glass,1,2268,4032,1027,1314,1301,2172,2.57
3407424,glass,1,2268,4032,1021,1506,1405,2174,2.81
3407676,glass,1,2268,4032,964,1874,1361,2410,2.33
3408575,glass,1,2268,4032,932,1477,1369,2602,5.38
3408682,glass,1,2268,4032,888,1386,1373,2826,7.64
3408719,glass,1,2268,4032,895,1682,1452,2611,5.66
3408793,glass,1,2268,4032,891,1654,1493,2744,7.18
3408806,glass,1,2268,4032,920,1849,1288,2536,2.76
3408879,glass,1,2268,4032,857,1531,1515,2964,10.31
3408933,glass,1,2268,4032,733,1613,1435,2721,8.51
3409013,glass,1,2268,4032,944,1458,1404,2794,6.72
3409066,glass,1,1836,3264,650,1364,1125,1935,4.53
3409098,glass,1,2268,4032,1024,1575,1232,2133,1.27
3409103,glass,1,1836,3264,627,1419,1184,1944,4.88
3409105,glass,1,2268,4032,929,1282,1339,2627,6.03
3409276,glass,1,1836,3264,592,1329,1221,2009,7.14
3409292,glass,1,2268,4032,545,1818,1701,2350,6.73
3409303,glass,1,1836,3264,683,1448,1137,1974,3.98
3409320,glass,1,2268,4032,1150,1736,1471,2016,0.98
3409322,glass,1,2268,4032,775,2003,1484,2375,2.88
3409326,glass,1,1836,3264,691,1331,1150,1907,4.41
3409774,glass,1,2988,5312,1140,1573,1710,3054,5.32
3409789,glass,1,2268,4032,844,1899,1443,2397,3.26
3410299,glass,1,2252,4000,1028,1562,1346,2463,3.18
3410653,glass,1,2252,4000,1040,1562,1409,2309,3.06
3412193,glass,1,2268,4032,1055,1556,1348,2649,3.5
3412229,glass,1,2268,4032,1077,1566,1395,2693,3.92
3412267,glass,1,2268,4032,1320,1603,1487,2107,0.92
3412279,glass,1,2268,4032,1106,1487,1291,1981,1.0
3412361,glass,1,2268,4032,1021,1452,1344,2504,3.72
3412392,glass,1,2268,4032,1071,1468,1418,1855,1.47
3412449,glass,1,2322,4128,955,1835,1616,2561,5.01
3412486,glass,1,2268,4032,989,1361,1288,2498,3.72
3414188,glass,1,2268,4032,951,1635,1455,2293,3.63
3414224,glass,1,2268,4032,1002,1484,1254,2070,1.61
3414248,glass,1,2268,4032,797,1405,1588,2397,8.58
3414589,glass,1,4032,2272,1395,930,2479,1355,5.03
3414677,glass,1,2272,4032,958,1046,1386,2526,6.91
3414707,glass,1,2272,4032,989,1361,1415,2781,6.6
3414828,glass,1,2268,4032,1049,1553,1410,2601,4.14
3414840,glass,1,2560,1440,1188,454,1336,886,1.73
3414906,glass,1,2560,1440,1042,602,1612,784,2.81
3414953,glass,1,1440,2560,600,856,788,1470,3.13
3414983,glass,1,4160,2340,1901,387,2233,1732,4.59
3415151,glass,1,2272,4032,926,1676,1871,1924,2.56
3416730,glass,1,2848,1602,1317,676,1422,935,0.6
3416816,glass,1,2268,4032,992,1644,1380,2362,3.05
3416918,glass,1,2268,4032,841,1443,1484,2718,8.97
3417065,glass,1,4032,2268,2013,803,2136,1186,0.52
3417704,glass,1,2268,4032,1065,1603,1266,2208,1.33
3418075,glass,1,2268,4032,1017,1644,1345,2520,3.14
3419020,glass,1,2268,4032,970,1679,1301,2564,3.2
3419475,glass,1,2268,4032,1058,1824,1468,2419,2.67
3419566,glass,1,2268,4032,1002,1786,1386,2466,2.86
3419640,glass,1,3184,5664,1468,2221,1782,3235,1.77
3419665,glass,1,2268,4032,806,1632,1566,2504,7.25
